Attribute Name;Attribute Value;Filter Value
Color;ANTIQUE;Brown
Color;ANTIQUE GOLD;Golden
Color;antique silver;Silver
Color;APRICOT;Orange
Color;AQUA;Blue
Color;AQUA BLUE;Blue
Color;ASH;Grey
Color;ASSORTED;Assorted
Color;BEIGE;Beige
Color;BLACK;Black
Color;BLUE;Blue
Color;BRICK RED;Red
Color;BRONZE;Copper
Color;BROWN;Brown
Color;CAMEL;Tan
Color;CAMEL SHADE;Tan
Color;CHAMPAGNE;Brown
Color;CHARCOAL GREY;Grey
Color;CHERRY;Maroon
Color;CITRINE;Yellow
Color;COBALT BLUE;Blue
Color;COFFEE;Coffee
Color;COPPER;Copper
Color;CREAM;Off White
Color;DARK GREY;Grey
Color;EMERALD;Green
Color;FIROZI;Turquoise
Color;FUCHSIA;Pink
Color;GOLDEN;Golden
Color;GREEN;Green
Color;GREY;Grey
Color;GREY MILANGE;Grey
Color;ICE;Transparent
Color;ICE BLUE;Blue
Color;IVORY;Off White
Color;KHAKI;Khaki
Color;LAVENDER;Purple
Color;LEMON;Yellow
Color;LIGHT BLUE;Blue
Color;LIGHT GREY;Grey
Color;LILAC;Purple
Color;MAGENTA;Magenta
Color;MAROON;Maroon
Color;MAUVE;Purple
Color;METAL;Copper
Color;MILANGE;Grey
Color;MULTI;Multi
Color;MUSTARD YELLOW;Yellow
Color;NAVY BLUE;Navy Blue
Color;NEUTRAL;Nude
Color;NUDE;Nude
Color;OFF WHITE;Off White
Color;OLIVE;Olive
Color;ORANGE;Orange
Color;PEACH;Peach
Color;PEARL;White
Color;PINK;Pink
Color;PURPLE;Purple
Color;RED;Red
Color;RUBY;Pink
Color;RUST;Red
Color;SAND;Beige
Color;SILVER;Silver
Color;STEEL GREY;Grey
Color;TAN;Tan
Color;TRANSPARENT;Transparent
Color;TURQUOISE;Turquoise
Color;TWO TONE;Two Tone
Color;VIOLET INDIGO;Purple
Color;WHITE;White
Color;WINE;Maroon
Color;YELLOW;Yellow
Frame Color;AQUA BLUE;Blue
Frame Color;BEIGE;Beige
Frame Color;BLACK;Black
Frame Color;BLUE;Blue
Frame Color;BRONZE;Copper
Frame Color;BROWN;Brown
Frame Color;CHAMPAGNE;Brown
Frame Color;CHERRY;Maroon
Frame Color;COPPER;Copper
Frame Color;CREAM;Off White
Frame Color;DARK GREY;Grey
Frame Color;GOLDEN;Golden
Frame Color;GREEN;Green
Frame Color;GREY;Grey
Frame Color;IVORY;Off White
Frame Color;LAVENDER;Purple
Frame Color;LIGHT BLUE;Blue
Frame Color;LILAC;Purple
Frame Color;MAROON;Maroon
Frame Color;MAUVE;Purple
Frame Color;METAL;Copper
Frame Color;MULTI;Multi
Frame Color;NAVY BLUE;Navy Blue
Frame Color;OFF WHITE;Off White
Frame Color;OLIVE;Olive
Frame Color;ORANGE;Orange
Frame Color;PEACH;Peach
Frame Color;PINK;Pink
Frame Color;PURPLE;Purple
Frame Color;RED;Red
Frame Color;SILVER;Silver
Frame Color;STEEL GREY;Grey
Frame Color;TURQUOISE;Turquoise
Frame Color;TWO TONE;Two Tone
Frame Color;VIOLET INDIGO;Purple
Frame Color;WHITE;White
Frame Color;WINE;Maroon
Frame Color;YELLOW;Yellow
Frame material Detail;ACETATE;Acetate
Frame material Detail;ALLOY;Metal
Frame material Detail;ALUMINIUM;Metal
Frame material Detail;FIBRE;Others
Frame material Detail;METAL;Metal
Frame material Detail;METAL + PLASTIC;Metal, Plastic
Frame material Detail;MONEL;Metal
Frame material Detail;NYLON;Nylon
Frame material Detail;OPTYL;Plastic
Frame material Detail;PLASTIC;Plastic
Frame material Detail;POLYCARBONATE;Polycarbonate
Frame material Detail;PROPIONATE;Plastic
Frame material Detail;RESIN;Others
Frame material Detail;RUBBER;Others
Frame material Detail;SHEET;Acetate
Frame material Detail;SHELL;Acetate
Frame material Detail;STAINLESS STEEL;Stainless Steel
Frame material Detail;TR-90;TR 90 Plastic
Lens Color;AQUA;Blue
Lens Color;AQUA BLUE;Blue
Lens Color;BLACK;Black
Lens Color;BLUE;Blue
Lens Color;BRONZE;Copper
Lens Color;BROWN;Brown
Lens Color;CHERRY;Maroon
Lens Color;COFFEE;Coffee
Lens Color;COPPER;Copper
Lens Color;DARK GREY;Grey
Lens Color;GOLDEN;Golden
Lens Color;GREEN;Green
Lens Color;GREY;Grey
Lens Color;LEMON;Yellow
Lens Color;LIGHT BLUE;Blue
Lens Color;LIGHT GREY;Grey
Lens Color;LILAC;Purple
Lens Color;MAROON;Maroon
Lens Color;MAUVE;Purple
Lens Color;MULTI;Multi
Lens Color;NAVY BLUE;Navy Blue
Lens Color;OLIVE;Olive
Lens Color;ORANGE;Orange
Lens Color;PINK;Pink
Lens Color;PURPLE;Purple
Lens Color;RED;Red
Lens Color;SILVER;Silver
Lens Color;TRANSPARENT;Transparent
Lens Color;TURQUOISE;Turquoise
Lens Color;TWO TONE;Two Tone
Lens Color;WHITE;White
Lens Color;WINE;Maroon
Lens Color;YELLOW;Yellow
Fabric Details;100% COTTON;Cotton
Fabric Details;100% COTTON POPLIN;Cotton
Fabric Details;100% LINEN;Linen
Fabric Details;100% NYLON;Blended
Fabric Details;100% ORGANIC COTTON;Cotton
Fabric Details;100% POLYESTER;Polyester
Fabric Details;100% WOOL;Wool
Fabric Details;25% COTTON,50% POLYESTER,25% VISCOSE;BLENDED
